RPID,IP,MAC,Class,Room,Asset,Serial,Building,FQDN,ARP Last
13806025,146.232.48.56,f4:8e:38:d9:c8:42,HOST,k2093,466849, ,ADMINISTRASIE BLOK A,narga-a52.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.57,f4:8e:38:d9:74:a1,HOST,k2093,466850, ,ADMINISTRASIE BLOK A,narga-a53.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.58,f4:8e:38:d9:74:98,HOST,k2093,466851, ,ADMINISTRASIE BLOK A,narga-a54.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.59,f4:8e:38:d9:74:1a,HOST,k2093,466852, ,ADMINISTRASIE BLOK A,narga-a55.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.60,f4:8e:38:d9:c8:9a,HOST,k2093,466853, ,ADMINISTRASIE BLOK A,narga-a56.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.61,f4:8e:38:d9:73:44,HOST,k2093,466854, ,ADMINISTRASIE BLOK A,narga-a57.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.62,f4:8e:38:d9:c8:64,HOST,k2093,466855, ,ADMINISTRASIE BLOK A,narga-a58.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.63,f4:8e:38:d9:75:79,HOST,k2093,466856, ,ADMINISTRASIE BLOK A,narga-a59.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.64,f4:8e:38:d9:75:15,HOST,k2093,466857, ,ADMINISTRASIE BLOK A,narga-a60.rga.stb.sun.ac.za,2019-02-21 15:05:01, 
13806025,146.232.48.65,f4:8e:38:d9:6e:ee,HOST,k2093,466858, ,ADMINISTRASIE BLOK A,narga-a61.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.66,f4:8e:38:d9:73:3d,HOST,k2093,466859, ,ADMINISTRASIE BLOK A,narga-a62.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.67,f4:8e:38:d9:c8:97,HOST,k2093,466860, ,ADMINISTRASIE BLOK A,narga-a63.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.68,f4:8e:38:d9:c8:8a,HOST,k2093,466861, ,ADMINISTRASIE BLOK A,narga-a64.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.69,f4:8e:38:d9:74:0f,HOST,k2093,466862, ,ADMINISTRASIE BLOK A,narga-a65.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.70,f4:8e:38:d9:74:27,HOST,k2093,466863, ,ADMINISTRASIE BLOK A,narga-a66.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.71,f4:8e:38:d9:75:37,HOST,k2093,466797, ,ADMINISTRASIE BLOK A,narga-a00.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.72,f4:8e:38:d9:74:16,HOST,k2093,466798, ,ADMINISTRASIE BLOK A,narga-a01.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.73,f4:8e:38:d9:73:05,HOST,k2093,466799, ,ADMINISTRASIE BLOK A,narga-a02.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.74,f4:8e:38:d9:74:8f,HOST,k2093,466800, ,ADMINISTRASIE BLOK A,narga-a03.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.75,f4:8e:38:d9:74:e2,HOST,k2093,466801, ,ADMINISTRASIE BLOK A,narga-a04.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.76,f4:8e:38:d9:75:67,HOST,k2093,466802, ,ADMINISTRASIE BLOK A,narga-a05.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.77,f4:8e:38:d9:72:fd,HOST,k2093,466803, ,ADMINISTRASIE BLOK A,narga-a06.rga.stb.sun.ac.za,2019-02-21 15:10:01, 
13806025,146.232.48.78,f4:8e:38:d9:c9:b5,HOST,k2093,466804, ,ADMINISTRASIE BLOK A,narga-a07.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.79,f4:8e:38:d9:c9:46,HOST,k2093,466805, ,ADMINISTRASIE BLOK A,narga-a08.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.80,14:b3:1f:09:06:8d,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o01.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.81,14:b3:1f:09:ca:9f,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o02.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.82,14:b3:1f:08:f4:35,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o03.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.83,14:b3:1f:09:ed:18,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o04.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.84,14:b3:1f:09:be:a4,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o05.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.85,14:b3:1f:09:c8:c5,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o06.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.86,14:b3:1f:09:c9:33,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o07.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.87,14:b3:1f:09:ca:a9,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o08.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.88,14:b3:1f:09:be:13,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o09.rga.stb.sun.ac.za,2019-02-18 11:40:01, 
13806025,146.232.48.89,14:b3:1f:09:bc:21,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o10.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.90,14:b3:1f:09:02:40,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o11.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.91,14:b3:1f:07:73:96,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o12.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.92,14:b3:1f:07:73:6b,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o13.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.93,14:b3:1f:09:ba:3b,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o14.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.94,14:b3:1f:09:be:21,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o15.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.95,14:b3:1f:09:06:83,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o16.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.96,14:b3:1f:07:73:55,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o17.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.97,14:b3:1f:09:be:2e,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o18.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.98,14:b3:1f:09:07:5e,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o19.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.48.99,74:e6:e2:e5:ee:26,HOST,k2088,0,,ADMINISTRASIE BLOK A,narga-o20.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.100,14:b3:1f:09:c8:7f,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o21.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.101,14:b3:1f:09:e6:0a,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o22.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.102,14:b3:1f:09:c9:09,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o23.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.103,14:b3:1f:08:ea:f9,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o24.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.104,14:b3:1f:09:e7:1f,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o25.rga.stb.sun.ac.za,2019-02-12 14:25:01, 
13806025,146.232.48.105,14:b3:1f:07:73:69,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o26.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.106,14:b3:1f:09:e7:20,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o27.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.107,14:b3:1f:08:e7:73,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o28.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.108,14:b3:1f:07:73:c8,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o29.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.109,14:b3:1f:07:73:2b,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o30.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.110,14:b3:1f:09:ac:ed,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o31.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.111,14:b3:1f:07:73:32,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o32.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.112,14:b3:1f:09:ad:45,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o33.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.113,14:b3:1f:09:a6:dd,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o34.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.114,14:b3:1f:09:a5:e7,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o35.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.115,14:b3:1f:09:ec:f9,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o36.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.116,14:b3:1f:09:a6:5c,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o37.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.117,14:b3:1f:09:b5:6e,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o38.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.118,14:b3:1f:07:73:4c,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o39.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.119,14:b3:1f:09:e3:c2,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o40.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.120,14:b3:1f:08:e8:97,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o41.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.121,14:b3:1f:08:e8:91,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o42.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.122,14:b3:1f:09:a2:34,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o43.rga.stb.sun.ac.za,2019-02-17 02:35:01, 
13806025,146.232.48.123,14:b3:1f:09:c9:2f,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o44.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.124,14:b3:1f:07:73:62,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o45.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.125,14:b3:1f:09:98:b6,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o46.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.126,14:b3:1f:08:b9:05,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o47.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.127,14:b3:1f:08:e8:2c,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o48.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.128,14:b3:1f:07:74:93,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o49.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.129,14:b3:1f:07:73:87,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o50.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.130,14:b3:1f:09:b2:e8,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o51.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.131,14:b3:1f:08:13:a1,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o52.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.132,14:b3:1f:07:72:bf,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o53.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.133,14:b3:1f:09:ed:00,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o54.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.134,14:b3:1f:09:ad:d6,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o55.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.135,14:b3:1f:07:72:97,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o56.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.136,14:b3:1f:07:70:80,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o57.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.137,14:b3:1f:08:07:bc,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o58.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.138,14:b3:1f:07:80:67,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o59.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.48.139,74:e6:e2:e2:58:47,HOST,2087,454851,,ADMINISTRASIE BLOK A,narga-b22.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
16516729,146.232.48.140,14:b3:1f:07:70:b3,HOST,2088,0,,ADMINISTRASIE BLOK A,narga-o61.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.141,14:b3:1f:08:be:98,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o62.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.142,14:b3:1f:07:72:dd,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o63.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.143,14:b3:1f:07:73:c7,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o64.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.144,14:b3:1f:07:71:5c,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o65.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.145,14:b3:1f:07:73:f9,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o66.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.146,14:b3:1f:07:72:28,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o67.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.147,14:b3:1f:09:b2:ca,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o68.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.148,14:b3:1f:07:72:af,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o69.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.149,14:b3:1f:09:b2:88,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o70.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.150,14:b3:1f:08:e7:c7,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o71.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.151,14:b3:1f:07:71:c3,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o72.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.152,14:b3:1f:07:75:66,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o73.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.153,14:b3:1f:07:72:b1,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o74.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.154,14:b3:1f:08:12:fe,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o75.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.155,14:b3:1f:09:b2:84,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o76.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.156,14:b3:1f:07:74:25,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o77.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.157,14:b3:1f:09:01:d0,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o78.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.158,14:b3:1f:07:71:dd,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o79.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.159,14:b3:1f:07:71:94,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o80.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.160,14:b3:1f:09:b2:b2,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o81.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.161,14:b3:1f:08:07:8f,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o82.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.162,14:b3:1f:07:73:33,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o83.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.163,14:b3:1f:07:73:27,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o84.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.164,14:b3:1f:07:72:87,HOST,k2088,0, ,ADMINISTRASIE BLOK A,narga-o85.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.165,74:e6:e2:d9:33:a5,HOST,k2087,454873,,ADMINISTRASIE BLOK A,narga-b00.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.166,74:e6:e2:d8:ef:b0,HOST,k2087,454872, ,ADMINISTRASIE BLOK A,narga-b01.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.167,74:e6:e2:da:6b:6c,HOST,k2087,454871, ,ADMINISTRASIE BLOK A,narga-b02.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.168,74:e6:e2:da:84:77,HOST,k2087,454870, ,ADMINISTRASIE BLOK A,narga-b03.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.169,74:e6:e2:db:0e:16,HOST,k2087,454869, ,ADMINISTRASIE BLOK A,narga-b04.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.170,74:e6:e2:d8:eb:c0,HOST,k2087,454868, ,ADMINISTRASIE BLOK A,narga-b05.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.171,74:e6:e2:d8:ee:74,HOST,k2087,454867, ,ADMINISTRASIE BLOK A,narga-b06.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.172,74:e6:e2:da:7f:e8,HOST,k2087,454866, ,ADMINISTRASIE BLOK A,narga-b07.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.173,74:e6:e2:da:71:2a,HOST,k2087,454865, ,ADMINISTRASIE BLOK A,narga-b08.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.174,74:e6:e2:da:80:01,HOST,k2087,454864, ,ADMINISTRASIE BLOK A,narga-b09.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.175,74:e6:e2:d9:33:a2,HOST,k2087,454863, ,ADMINISTRASIE BLOK A,narga-b10.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
20622481,146.232.48.176,74:e6:e2:da:1f:9d,HOST,3009,454862, ,ADMINISTRASIE BLOK A,narga-b11.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.177,74:e6:e2:da:6b:6e,HOST,k2087,454861, ,ADMINISTRASIE BLOK A,narga-b12.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.178,74:e6:e2:da:6a:6d,HOST,k2087,454860, ,ADMINISTRASIE BLOK A,narga-b13.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.179,74:e6:e2:da:69:42,HOST,k2087,454859, ,ADMINISTRASIE BLOK A,narga-b14.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.180,74:e6:e2:da:71:5c,HOST,k2087,454858, ,ADMINISTRASIE BLOK A,narga-b15.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.181,74:e6:e2:da:65:36,HOST,k2087,454857, ,ADMINISTRASIE BLOK A,narga-b16.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.182,74:e6:e2:da:78:b0,HOST,k2087,454856, ,ADMINISTRASIE BLOK A,narga-b17.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.183,74:e6:e2:da:7f:f9,HOST,k2087,454855, ,ADMINISTRASIE BLOK A,narga-b18.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.184,74:e6:e2:d9:b2:9b,HOST,k2087,454854, ,ADMINISTRASIE BLOK A,narga-b19.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.185,74:e6:e2:d9:c4:8f,HOST,k2087,454853, ,ADMINISTRASIE BLOK A,narga-b20.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.186,74:e6:e2:da:98:e7,HOST,k2087,454852, ,ADMINISTRASIE BLOK A,narga-b21.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.188,74:e6:e2:da:ae:52,HOST,k2087,454850, ,ADMINISTRASIE BLOK A,narga-b23.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.189,74:e6:e2:da:7f:37,HOST,k2087,454849, ,ADMINISTRASIE BLOK A,narga-b24.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.190,74:e6:e2:da:6b:16,HOST,k2087,454848, ,ADMINISTRASIE BLOK A,narga-b25.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.191,74:e6:e2:d9:33:83,HOST,k2087,454847, ,ADMINISTRASIE BLOK A,narga-b26.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.192,74:e6:e2:da:7e:6c,HOST,k2087,454846, ,ADMINISTRASIE BLOK A,narga-b27.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.193,74:e6:e2:da:71:00,HOST,k2087,454845, ,ADMINISTRASIE BLOK A,narga-b28.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.194,74:e6:e2:da:70:f6,HOST,k2087,454844, ,ADMINISTRASIE BLOK A,narga-b29.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.195,74:e6:e2:d9:5e:2d,HOST,k2087,454843, ,ADMINISTRASIE BLOK A,narga-b30.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.196,74:e6:e2:da:70:ea,HOST,k2087,454842, ,ADMINISTRASIE BLOK A,narga-b31.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.197,74:e6:e2:d9:fe:db,HOST,k2087,454841, ,ADMINISTRASIE BLOK A,narga-b32.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.198,74:e6:e2:da:70:e8,HOST,k2087,454840, ,ADMINISTRASIE BLOK A,narga-b33.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.199,74:e6:e2:da:6b:39,HOST,k2087,454839, ,ADMINISTRASIE BLOK A,narga-b34.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.200,74:e6:e2:d9:fe:da,HOST,k2087,454838, ,ADMINISTRASIE BLOK A,narga-b35.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.201,74:e6:e2:da:c7:ac,HOST,k2087,454837, ,ADMINISTRASIE BLOK A,narga-b36.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.202,74:e6:e2:da:c7:80,HOST,k2087,454836, ,ADMINISTRASIE BLOK A,narga-b37.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.203,74:e6:e2:d9:fe:dc,HOST,k2087,454835, ,ADMINISTRASIE BLOK A,narga-b38.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.204,74:e6:e2:d9:2b:d1,HOST,k2087,454834, ,ADMINISTRASIE BLOK A,narga-b39.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.205,74:e6:e2:da:c7:a9,HOST,k2087,454833, ,ADMINISTRASIE BLOK A,narga-b40.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.206,74:e6:e2:d9:0b:f5,HOST,k2087,454832, ,ADMINISTRASIE BLOK A,narga-b41.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.207,74:e6:e2:d9:b2:97,HOST,k2087,454831, ,ADMINISTRASIE BLOK A,narga-b42.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.208,74:e6:e2:da:6b:33,HOST,k2087,454830, ,ADMINISTRASIE BLOK A,narga-b43.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
13806025,146.232.48.209,74:e6:e2:da:70:df,HOST,k2087,454829, ,ADMINISTRASIE BLOK A,narga-b44.rga.stb.sun.ac.za,2019-02-21 15:25:01, 
