suid,commits,submissions,latest_submission,env_id,latest_ip,uuid,env_started,env_stopped
20183755,0,1,2019-11-01 10:53:15.799293,,146.232.20.252,,,
19836562,0,1,2019-11-01 11:40:44.869389,,146.232.20.252,,,
19820089,0,1,2019-11-01 11:44:34.891393,,146.232.20.252,,,
20239904,0,1,2019-11-01 11:56:05.350997,,146.232.20.252,,,
18172490,0,1,2019-11-01 11:57:13.767969,,146.232.20.252,,,
21006288,0,1,2019-11-01 11:59:43.383402,,146.232.20.252,,,
20722141,0,1,2019-11-01 12:08:18.012100,,146.232.20.252,,,
21028540,0,1,2019-11-01 12:08:44.984391,,146.232.20.252,,,
