suid,commits,submissions,latest_submission,env_id,latest_ip,uuid,env_started,env_stopped
22071520,0,0,,,,,,
22098038,0,1,2019-10-30 11:11:00.177828,,146.232.20.252,,,
22121838,0,0,,,,,,
22141634,0,0,,,,,,
22142142,0,0,,,,,,
22144528,0,0,,,,,,
22163409,0,0,,,,,,
22174273,0,0,,,,,,
22183779,0,0,,,,,,
22188428,0,0,,,,,,
22213643,0,0,,,,,,
22216723,0,0,,,,,,
22217800,0,0,,,,,,
22932364,0,0,,,,,,
19059019,0,1,2019-10-30 09:49:37.740513,,146.232.20.252,,,
16853237,0,1,2019-10-30 11:51:28.911160,,146.232.20.252,,,
