suid,commits,submissions,latest_submission,env_id,latest_ip,uuid,env_started,env_stopped
21651388,0,2,2019-10-22 09:55:49.987719,,146.232.20.252,,,
21664072,0,1,2019-10-24 12:48:13.676852,,146.232.20.252,,,
21858004,0,1,2019-10-24 18:39:00.286444,,146.232.20.252,,,
21598835,0,1,2019-10-24 19:16:50.219152,,146.232.20.252,,,
21905940,0,1,2019-10-24 21:44:17.946734,,146.232.20.252,,,
21783101,0,1,2019-10-24 22:50:23.724683,,146.232.20.252,,,
21577153,0,1,2019-10-25 08:38:29.942446,,146.232.20.252,,,
21629986,0,1,2019-10-25 09:51:08.008293,,146.232.20.252,,,
21831599,0,1,2019-10-25 11:59:38.180444,,146.232.20.252,,,
21740704,0,1,2019-10-25 12:17:01.600516,,146.232.20.252,,,
21582122,0,2,2019-10-25 12:26:14.332074,,146.232.20.252,,,
21626227,0,1,2019-10-25 13:24:11.570699,,146.232.20.252,,,
21583013,0,4,2019-10-30 10:43:08.030572,,146.232.20.252,,,
20978987,0,1,2019-10-25 14:17:43.224993,,146.232.20.252,,,
19084773,0,2,2019-10-30 12:07:46.747024,,146.232.20.252,,,
17710561,0,1,2019-10-25 16:18:36.508832,,146.232.20.252,,,
21535582,0,1,2019-10-25 16:57:46.321081,,146.232.20.252,,,
21553815,0,1,2019-10-26 20:29:03.612799,,146.232.20.252,,,
